year,pack,subst,epi,wafer,phos
2009,65,9,8,3,15
2010,44.44444444,7.638888889,7.638888889,8.333333333,1.388888889
2011,19.3220339,4.830508475,9.661016949,9.661016949,4.830508475
2012,17.79661017,4.943502825,3.95480226,3.95480226,2.306967985
2013,11.86487759,2.86393597,2.250235405,2.04566855,1.431967985
2014,8.168644068,1.555932203,1.166949153,1.037288136,1.037288136
2015,2.61202919,0.299741055,0.471021657,0.556661959,0.342561205
2016,0.755649718,0.277071563,0.57933145,0.70527307,0.201506591
2018,0.65913371,0.141242938,0.65913371,0.612052731,0.282485876
2020,0.691384181,0.125706215,0.523775895,0.460922787,0.293314501
