index,step,yield,cumyield,tmp_repeats,repeats,labelheight
1,Die Cost (yielded),0.98,,1,$\times$1,0.3
2,Package Cost (yielded),0.98,,1,$\times$1,0.3
3,Die_Attach,1,0.99,1,$\times$1,0.3
4,Flip_Chip,,0.99,,,0.3
5,ESD Attach,,0.99,,,0.3
6,Wire_Bonding,0.99,0.9702,1,$\times$1,0.3
7,Phosphor_Package,0.99,0.960498,1,$\times$1,0.3
8,Curing,1,0.960498,1,$\times$1,0.3
9,Encapsulation,,0.960498,,,0.3
10,Lens_Molding,,0.960498,,,0.3
11,Lens_Attach,,0.960498,,,0.3
12,LED_Test,1,0.960498,1,$\times$1,0.3
13,TOTAL,0.98,0.960498,,,0.3
