eff,cri
80,81
84.2,80
80,82
70.6,83
73.5,84
76.5,82
70,82
70,81
85.7,85
69.9,82
70,82
72.5,82
75,83
80,85
86.7,83
81.3,82
80,83
73.9,82
65,82
65,81
77.8,82
76.9,83
91.4,82
91.4,83
77.8,82
94.1,81
71.5,85
71.5,85
71.5,85
71.5,85
71.5,85
71.5,85
71.5,85
71.5,85
71.5,85
72.4,82
72.2,86
79.6,84
79.6,84
82.5,85
85.1,85
70.8,84
70.9,83
75.9,84
72.5,83
70.8,82
72.6,82
79.2,81
68,81
72,82
77.9,81
70.8,82
73.8,82
77.9,81
69.5,82
71.5,82
76,81
73.5,81
73.4,81
76.5,81
71.4,80
71.4,82
71.4,83
76.9,81
76.9,83
76.9,83
75.9,82
77.8,82
62.5,81
75.9,94
75.9,94
74.9,93
74.6,93
72.7,92
70.6,96
70.6,96
68.3,96
68.3,96
65.9,95
65.9,95
65,92
62.6,93
62.6,93
62.3,93
62.3,93
62.3,93
62.3,93
62.3,93
62.3,93
62.3,93
62.3,93
62.3,93
62.3,93
