eff,cri
123.1,91
123.1,92
116.7,95
116.2,94
116.2,94
115.8,93
115.8,93
115.8,93
115.8,93
115.8,93
115.8,92
115.8,93
115.8,93
115.8,92
115.8,92
115.8,93
115.8,92
114.3,91
114.3,94
114.3,94
113.3,93
111.1,95
111.1,95
111.1,95
111.1,94
111.1,94
111.1,94
111.1,94
111.1,94
110,94
109.1,93
107.7,93
107.7,93
106.7,97
106.7,95
106.7,95
106.7,95
106.7,92
106.7,94
106.7,93
106.7,94
106.7,94
106.7,92
105.3,91
105,96
104.7,90
104.5,94
103,93
103,92
103,93
103,92
102.6,94
102.6,94
102.6,94
102.6,93
102.6,93
102.6,93
102.6,93
102.6,93
102.6,93
102.6,94
102.6,94
102.6,94
102.6,93
102.6,93
102.6,93
102.6,93
102.6,93
102.6,93
100,92
100,92
100,91
100,91
100,94
100,95
100,97
100,97
100,97
100,97
100,97
100,97
100,97
100,96
100,96
100,92
100,92
100,96
100,95
100,96
100,92
100,94
100,95
100,92
100,95
100,95
100,95
100,92
100,95
100,95
100,93
100,93
100,95
100,94
100,94
100,94
100,94
100,94
100,95
100,95
100,95
100,95
100,95
100,94
100,94
100,93
100,93
100,93
100,92
100,91
100,93
100,93
100,92
100,93
100,93
100,93
100,93
100,95
100,91
100,92
100,92
100,92
100,94
100,90
100,90
100,94
100,92
100,94
100,93
100,93
100,93
100,92
100,91
100,93
100,93
100,93
100,93
98.5,96
98.5,93
98,94
97.1,92
97.1,91
97,95
97,93
97,92
97,92
97,92
97,91
96.9,92
96.7,92
95.7,95
95.7,91
95.6,94
95.6,94
95.6,92
95.5,92
95.5,92
95,95
95,95
95,92
95,92
95,92
95,92
95,92
95,93
95,93
94.1,94
94.1,94
94.1,94
94.1,92
94.1,93
94.1,91
94.1,92
94.1,93
94.1,91
94.1,92
94.1,93
94.1,92
94.1,92
94.1,91
94.1,91
94.1,92
94.1,93
94.1,93
94.1,93
94.1,92
94.1,92
94.1,93
94.1,93
94.1,93
94.1,93
94.1,93
94.1,93
94.1,93
94.1,93
94.1,93
94.1,92
94.1,93
94.1,92
94.1,92
94,92
93.8,91
93.6,93
93.6,93
93.6,96
93.6,96
93.6,91
93.6,91
93.6,94
93.6,93
93.6,92
93.6,92
93.3,92
92.9,92
92.9,93
92.9,92
92.9,93
92.9,91
92.6,93
92.3,96
92.3,96
92.3,96
92.3,96
92.3,92
92.3,92
92.3,96
92.3,93
92.3,94
92.3,94
92.3,94
92.3,94
92.3,93
92.3,93
92.1,92
92.1,93
92.1,92
92.1,92
92.1,92
92.1,92
92.1,91
92.1,91
92,91
91.7,96
91.7,92
91.7,95
91.7,93
91.7,96
91.7,94
91.7,94
91.7,93
91.7,92
91.7,93
91.7,93
91.7,94
91.7,93
91.7,94
91.7,94
91.7,94
91.7,92
91.7,92
91.7,91
91.7,91
91.7,91
91.7,94
91.7,90
91.7,94
91.7,94
91.7,93
91.7,94
91.7,92
91.6,96
91.6,97
91.6,97
91.6,97
91.4,93
91.3,92
91.3,92
91.3,92
91.3,92
91,91
90.9,93
90.9,93
90.9,94
90.9,93
90.9,93
90.9,92
90.9,92
90.9,90
90.9,93
90.9,93
90.9,94
90.9,96
90.9,96
90.9,96
90.9,94
90.9,94
