wavelength,intensity
300,0.000289444
305,0.014126744
310,0.027964044
315,0.09986419
320,0.171765185
325,0.243139069
330,0.314513802
335,0.326801175
340,0.339089397
345,0.360151767
350,0.381214987
355,0.388542763
360,0.39587054
365,0.419004006
370,0.442137473
375,0.43316725
380,0.424197026
385,0.444027773
390,0.463859369
395,0.58314518
400,0.702431841
405,0.73948664
410,0.776542288
415,0.78480036
420,0.793058432
425,0.764412793
430,0.735768003
435,0.812935864
440,0.890104573
445,0.941635827
450,0.993175568
455,0.996587784
460,1
465,0.987471565
470,0.974951618
475,0.979458799
480,0.98396598
485,0.953782297
490,0.923598615
495,0.92589889
500,0.928207653
505,0.921620888
510,0.915034122
515,0.902251044
520,0.889467966
525,0.901767222
530,0.914074967
535,0.900137507
540,0.886200048
545,0.88467219
550,0.88315282
555,0.865981394
560,0.848809968
565,0.833252131
570,0.817694293
575,0.815376193
580,0.813058093
585,0.782915153
590,0.752772213
595,0.758376906
600,0.763981598
605,0.762253421
610,0.760526092
615,0.7524607
620,0.744395308
625,0.725678199
630,0.706961939
635,0.708704546
640,0.710447153
645,0.694861304
650,0.679275456
655,0.680072488
660,0.680869521
665,0.689625845
670,0.698382168
675,0.681433131
680,0.664484093
685,0.628142295
690,0.591801345
695,0.599813262
700,0.607825179
705,0.619453027
710,0.631081723
715,0.576991308
720,0.522900893
725,0.558048416
730,0.593195939
735,0.61527094
740,0.637345941
745,0.588563134
750,0.539781177
755,0.466891318
760,0.394002309
765,0.480526602
770,0.567050895
775,0.55252521
780,0.537999525
785,0.541909143
790,0.545818762
795,0.525225783
800,0.504633654
805,0.472832988
810,0.441033171
815,0.464297355
820,0.487561539
825,0.499749601
830,0.511938512
