i,flux
99.06040268,0.340474573
120,0.402885769
144,0.47212766
168,0.541391507
192,0.610993104
216,0.675386852
240,0.735668729
264,0.793050309
288,0.853516476
312,0.909853086
336,0.963111784
360,1.017033848
384,1.069133732
408,1.119499694
432,1.166979108
456,1.214908799
480,1.262728772
504,1.309222592
528,1.353240222
552,1.397324118
576,1.441380364
600,1.486405275
624,1.521073007
648,1.56277711
672,1.602720911
696,1.641480654
720,1.680095243
744,1.722506985
768,1.756085617
792,1.794807668
816,1.832139428
840,1.866502665
864,1.900584448
888,1.934755953
912,1.973226671
936,2.004131179
960,2.032476821
984,2.071860915
1003.489933,2.102113623
