i,flux
100,0.322290118
112,0.360964932
124,0.399639747
136,0.438314561
148,0.476989375
160,0.515664189
172,0.554339003
184,0.593013817
196,0.631688632
208,0.670363446
220,0.70903826
232,0.747713074
244,0.786387888
256,0.825062703
268,0.863737517
280,0.902412331
292,0.941087145
304,0.979761959
316,1.018436773
328,1.057111588
340,1.095786402
352,1.134461216
364,1.17313603
376,1.211810844
388,1.250485659
400,1.289160473
412,1.327835287
424,1.366510101
436,1.405184915
448,1.443859729
460,1.482534544
472,1.521209358
484,1.559884172
496,1.598558986
508,1.6372338
520,1.675908615
532,1.714583429
544,1.753258243
556,1.791933057
568,1.830607871
580,1.869282685
592,1.9079575
604,1.946632314
616,1.985307128
628,2.023981942
640,2.062656756
652,2.101331571
664,2.140006385
676,2.178681199
688,2.217356013
700,2.256030827
