i,flux
39.7284458,0.102189865
41.49722603,0.10885312
45.28057764,0.12230933
47.42285136,0.129907131
51.53756921,0.145395963
53.97586805,0.154338944
58.60270459,0.172160852
61.68338978,0.182827883
71.06407003,0.218346912
77.11411606,0.242786009
81.87134442,0.256987786
89.22778422,0.286425571
95.08828515,0.302969009
103.1001977,0.333893222
110.8865145,0.356606999
117.8224624,0.379054691
124.6869015,0.400963128
132.4860631,0.425712093
140.7730619,0.451251385
149.5784123,0.47864447
159.5786936,0.50838737
170.2475582,0.539071806
181.6297051,0.572184895
195.1887521,0.606279843
209.2515689,0.647669247
224.1461756,0.686560366
240.1009861,0.726765593
258.2338548,0.772590353
277.7361511,0.818756588
298.7112968,0.86752597
321.2705241,0.917773395
346.9339018,0.973203867
376.1657266,1.032668605
407.8605553,1.096356186
442.2259148,1.159910015
481.4301623,1.232207162
526.2341486,1.306239806
575.2077888,1.384381992
628.7391292,1.462901426
687.2523292,1.545118767
751.2110221,1.627972574
821.1219895,1.711918286
897.5391757,1.799752638
980.1866516,1.87954909
