i,flux
99.35851535,0.319260214
111.9565612,0.359740436
124,0.398438587
136,0.43699716
148,0.475555733
160,0.514114306
172,0.552672879
184,0.591231452
196,0.629790025
208,0.668348598
220,0.706907171
232,0.745465744
244,0.784024317
256,0.82258289
268,0.861141463
280,0.899700036
292,0.938258609
304,0.976817182
316,1.015375755
328,1.053934328
340,1.092492901
352,1.131051474
363.8462021,1.169115861
376,1.20816862
388,1.246727193
400,1.285285766
412,1.323844339
424,1.362402912
436,1.400961485
448,1.439520058
460,1.478078631
472,1.516637204
484,1.555195777
493.6260712,1.586126408
508.148571,1.632790313
520,1.670871496
532,1.709430069
544,1.747988642
556,1.786547215
568,1.825105788
580,1.863664361
592,1.902222934
604,1.940781507
616,1.97934008
628,2.017898653
640,2.056457226
652,2.095015799
664,2.133574372
679.5299079,2.183475295
700,2.249250091
