i,flux
99.06040268,0.332583554
120,0.402885769
144,0.483462923
168,0.564040077
192,0.64461723
216,0.725194384
240,0.805771538
264,0.886348692
288,0.966925845
312,1.047502999
336,1.128080153
360,1.208657307
384,1.289234461
408,1.369811614
432,1.450388768
456,1.530965922
480,1.611543076
504,1.69212023
528,1.772697383
552,1.853274537
576,1.933851691
600,2.014428845
624,2.095005999
648,2.175583152
672,2.256160306
696,2.33673746
720,2.417314614
744,2.497891767
768,2.578468921
792,2.659046075
816,2.739623229
840,2.820200383
864,2.900777536
888,2.98135469
912,3.061931844
936,3.142508998
960,3.223086152
984,3.303663305
1003.489933,3.369098444
