i,flux
100,0.322290118
112,0.356039273
124,0.392477772
136,0.429001058
148,0.464411873
160,0.49889432
172,0.533019419
184,0.566721048
196,0.600342575
208,0.633804446
220,0.666145449
232,0.698103269
244,0.730982597
256,0.762448229
268,0.793217441
280,0.824063025
292,0.853900612
304,0.884297915
316,0.913759392
328,0.94369984
340,0.973751587
352,1.003253335
364,1.032580059
376,1.059790395
388,1.089319328
400,1.117890583
412,1.144145232
424,1.171387386
436,1.198824505
448,1.226582927
460,1.253883314
472,1.280873903
484,1.307711707
496,1.334463722
508,1.360000606
520,1.386074934
532,1.411344383
544,1.437259622
556,1.464308098
568,1.49053509
580,1.515819094
592,1.541605132
604,1.567139862
616,1.591033763
628,1.615058593
640,1.638870476
652,1.662589137
664,1.68544704
676,1.709677331
688,1.733229133
700,1.757701474
