i,flux
48.12823869,0.236311239
69,0.294566589
88,0.36087975
107,0.424592128
126,0.474923643
145,0.524515381
164,0.579416599
183,0.626987046
202,0.67020291
221,0.71415249
240,0.753280578
259,0.795729489
278,0.838308221
297,0.876388177
316,0.923043961
335,0.966636462
354,1.004799144
373,1.038544193
392,1.072532602
411,1.10561075
430,1.138066264
449,1.169765694
468,1.204605525
487,1.235097348
506,1.262607852
525,1.290248415
544,1.31593685
563,1.340741975
582,1.367284172
601,1.392731762
620,1.417847003
639,1.444403054
658,1.469628283
677,1.494912789
696,1.517894921
715,1.537544736
734,1.561774663
753,1.582210481
772,1.6028499
791,1.622408542
810,1.643019245
829,1.662611946
848,1.683243755
867,1.702912381
886,1.725681989
905,1.743729715
924,1.761998089
943,1.784233317
962,1.803796719
981,1.824462972
