i,flux
124,0.386755471
136,0.424183419
148,0.461611368
160,0.499039317
172,0.536467266
184,0.573895214
196,0.611323163
208,0.648751112
220,0.686179061
232,0.723607009
244,0.761034958
256,0.798462907
268,0.835890856
280,0.873318804
292,0.910746753
304,0.948174702
316,0.985602651
328,1.0230306
340,1.060458548
352,1.097886497
376,1.172742395
388,1.210170343
400,1.247598292
412,1.285026241
424,1.32245419
436,1.359882138
448,1.397310087
460,1.434738036
472,1.472165985
484,1.509593933
520,1.62187778
532,1.659305729
544,1.696733677
556,1.734161626
568,1.771589575
580,1.809017524
592,1.846445472
604,1.883873421
616,1.92130137
628,1.958729319
640,1.996157267
652,2.033585216
664,2.071013165
700,2.183297011
111.9565612,0.349192036
99.35851535,0.309898785
493.6260712,1.539617608
508.148571,1.584913223
679.5299079,2.119450881
363.8462021,1.134834751
