year,data
1850, 0.09164885288096326
1853, 0.09979299876034012
1856, 0.10807301971778155
1859, 0.1163174674979724
1862, 0.12767748098993045
1865, 0.14248203917063737
1868, 0.15923348334951376
1871, 0.17933597617506286
1874, 0.2049026215117371
1877, 0.23422888818628423
1883, 0.30690870629762224
1886, 0.35319536819845126
1889, 0.40562401762989
1892, 0.4611403443620472
1895, 0.5202137490956602
1898, 0.5860802393266674
1904, 0.7119332548294067
1910, 0.8423867762093394
1919, 0.9902169109686781
1925, 1.055801382489516
1928, 1.081418490730186
1931.182833059059, 1.1119621606167487
