year, data
1879.8425563560927, 2.0446422839105614
1889, 2.976942250810219
1895, 3.7559925843210236
1898, 4.216882775882524
1901, 4.711948716257839
1904, 5.2534614070467125
1913, 7.031789160684719
1919, 8.28232691154964
1925, 9.506965448099956
1931, 10.770287997592021
1934, 11.289404725252435
1937, 11.878819993913066
1943, 12.940066139807362
1946, 13.31824683815385
1949, 13.758437728980736
1955, 14.479161542159256
1958, 14.865423924676886
1964, 15.274740615080132
1970, 15.723999741728168
1976, 16.05174388439841
1979, 16.219538118442387
1985, 16.386032236937975
1988, 16.45075716808392
1994, 16.628884238381705
1997, 16.703096605380935
