flux,cdf
250,27
470,24
806,1
470,21
470,27
806,33
1055,31
470,6
530,8
470,26
530,7
700,1
440,3
810,1
570,6
400,4
1000,13
420,1
210,86
420,1
1050,1
700,8
620,5
510,135
600,1
500,19
600,16
806,2
806,1
470,1
250,2
600,43
420,47
410,9
806,1
1000,17
540,5
806,1
480,1
450,1
220,48
90,23
420,1
200,89
720,1
420,132
420,1
810,29
450,1
210,49
230,16
810,28
470,1
806,1
470,1
806,1
440,1
420,1
525,1
806,1
806,1
450,1
240,1
470,1
810,24
600,1
806,16
250,1
150,1
704,1
720,1
390,1
710,1
1000,1
850,1
420,1
250,1
220,86
220,87
430,4
430,1
430,4
470,1
450,43
180,88
550,1
670,1
190,69
320,14
360,48
400,1
470,1
470,2
345,1
400,1
400,12
806,2
1055,13
470,1
500,1
650,1
600,1
360,121
800,135
420,1
600,1
400,1
580,3
320,30
810,1
600,8
470,1
806,1
450,1
800,1
370,22
330,31
345,44
470,37
400,1
640,1
470,13
470,9
650,18
640,1
640,1
810,1
250,1
470,1
640,1
446,12
446,9
608,18
770,29
608,1
770,1
238,1
446,1
446,1
608,1
770,1
608,19
1500,1
1320,1
1521,10
806,5
470,1
380,28
550,2
806,3
470,1
180,15
200,17
720,20
250,16
250,13
638,1
810,29
470,1
720,18
470,3
806,6
806,1
470,1
250,1
600,3
400,5
800,4
806,17
1055,2
470,24
325,13
350,40
350,39
550,1
1350,4
1550,5
470,1
270,14
600,1
1000,1
810,1
700,9
620,17
470,16
250,17
470,33
806,32
1055,33
1300,25
806,1
250,1
806,1
250,1
470,1
810,1
806,1
1700,1
1055,1
1400,1
220,1
430,1
500,17
400,30
580,1
260,32
1955,1
470,20
806,1
470,1
1055,1
800,3
750,18
520,1
345,1
470,16
400,29
630,42
810,1
970,1
810,1
810,1
806,15
1055,19
806,23
430,7
1521,30
1710,1
806,6
500,116
250,37
470,18
190,3
480,56
480,63
880,1
720,1
600,2
550,132
400,1
900,47
640,1
1055,1
330,3
400,1
1521,1
806,1
1055,1
360,1
638,4
150,1
250,1
250,1
600,128
300,2
400,12
710,3
806,4
600,132
600,130
800,1
1521,1
806,1
810,9
470,1
810,1
1200,1
300,1
600,1
800,1
470,1
360,131
960,4
1000,5
450,132
806,1
806,1
880,6
450,9
470,27
810,15
460,2
760,6
250,1
470,1
806,1
1521,1
600,5
350,1
400,4
840,1
840,1
150,1
806,1
700,11
400,67
400,67
180,133
180,134
600,129
600,129
140,8
180,9
806,1
250,1
1521,14
1055,15
810,10
470,4
470,1
806,1
470,1
806,1
1055,1
1521,12
300,1
300,1
470,1
1521,1
806,1
400,129
200,1
200,1
65,1
750,1
680,1
840,1
2452,1
560,1
1000,1
400,17
400,19
806,1
1055,24
1090,3
1000,1
806,1
806,11
600,132
806,3
806,2
810,8
810,7
700,1
65,1
200,1
2050,1
440,18
1055,1
80,1
400,130
500,1
470,1
1055,1
806,1
470,3
806,1
