date,cdf
2015-09-10,2
2015-09-10,1
2015-09-10,29
2015-09-10,30
2015-09-10,27
2015-09-10,47
2015-09-10,24
2015-09-10,1
2015-09-10,21
2015-09-10,27
2015-09-10,33
2015-09-10,31
2015-09-10,5
2015-09-10,4
2015-09-10,6
2015-09-10,18
2015-09-10,41
2015-09-10,8
2015-09-11,29
2015-09-11,29
2015-09-11,26
2015-09-11,7
2015-09-12,1
2015-09-12,3
2015-09-12,1
2015-09-12,2
2015-09-12,86
2015-09-12,6
2015-09-12,89
2015-09-12,4
2015-09-16,13
2015-09-17,6
2015-09-17,1
2015-09-17,86
2015-09-17,86
2015-09-17,1
2015-09-17,86
2015-09-17,85
2015-09-18,60
2015-09-18,73
2015-09-18,1
2015-09-19,8
2015-09-20,11
2015-09-21,5
2015-09-23,135
2015-09-23,135
2015-09-23,1
2015-09-23,19
2015-09-23,31
2015-09-23,90
2015-09-24,16
2015-09-24,2
2015-09-24,1
2015-09-24,3
2015-09-24,1
2015-09-24,1
2015-09-24,2
2015-09-24,43
2015-09-24,86
2015-09-24,46
2015-09-24,34
2015-09-24,24
2015-09-24,3
2015-09-24,25
2015-09-27,47
2015-09-27,9
2015-10-15,1
2015-10-19,41
2015-10-19,59
2015-10-19,57
2015-10-19,74
2015-10-23,17
2015-10-23,5
2015-10-23,1
2015-11-05,1
2015-11-05,87
2015-11-05,1
2015-11-05,1
2015-11-05,48
2015-11-06,23
2015-11-06,1
2015-11-06,89
2015-11-06,89
2015-11-06,1
2015-11-06,90
2015-11-12,132
2015-11-12,1
2015-11-12,1
2015-11-15,13
2015-11-18,71
2015-11-18,49
2015-11-18,39
2015-11-18,42
2015-11-18,5
2015-11-18,1
2015-11-18,1
2015-11-18,1
2015-11-18,21
2015-11-18,26
2015-11-18,25
2015-11-18,24
2015-11-18,27
2015-11-24,69
2015-11-24,71
2015-11-24,31
2015-11-26,29
2015-11-26,1
2015-11-26,1
2015-12-01,49
2015-12-04,1
2015-12-04,16
2015-12-04,28
2015-12-04,1
2015-12-04,84
2015-12-04,1
2015-12-04,10
2015-12-04,1
2015-12-04,93
2015-12-04,1
2015-12-04,63
2015-12-04,1
2015-12-04,1
2015-12-04,14
2015-12-05,1
2015-12-05,1
2015-12-05,69
2015-12-05,71
2015-12-05,65
2015-12-05,61
2015-12-05,68
2015-12-05,63
2015-12-05,62
2015-12-05,59
2015-12-10,1
2015-12-10,1
2015-12-12,1
2015-12-12,2
2015-12-12,95
2015-12-12,96
2015-12-12,74
2015-12-15,1
2015-12-19,1
2015-12-19,46
2015-12-19,89
2015-12-19,90
2015-12-19,1
2015-12-19,57
2015-12-19,57
2015-12-19,25
2015-12-19,28
2015-12-19,1
2015-12-19,59
2015-12-19,1
2015-12-19,63
2015-12-19,1
2015-12-19,1
2015-12-19,24
2015-12-19,1
2015-12-19,69
2015-12-19,25
2015-12-19,30
2015-12-19,16
2015-12-19,1
2015-12-20,40
2015-12-20,56
2015-12-20,39
2015-12-20,1
2015-12-20,63
2015-12-20,1
2015-12-20,1
2015-12-29,1
2015-12-29,1
2015-12-29,1
2015-12-29,1
2015-12-29,1
2015-12-29,1
2015-12-29,1
2015-12-29,1
2015-12-29,1
2015-12-30,1
2015-12-30,1
2015-12-30,1
2016-01-18,87
2016-01-18,87
2016-01-18,88
2016-01-18,88
2016-01-18,86
2016-01-18,86
2016-01-18,87
2016-01-18,4
2016-01-18,1
2016-01-18,4
2016-01-20,1
2016-01-20,1
2016-01-21,1
2016-01-21,43
2016-01-21,88
2016-01-21,1
2016-01-21,1
2016-01-21,49
2016-01-21,68
2016-01-22,69
2016-01-22,48
2016-01-22,89
2016-01-22,14
2016-01-22,20
2016-01-22,85
2016-01-22,1
2016-01-23,48
2016-01-23,1
2016-01-23,1
2016-01-23,2
2016-01-23,26
2016-01-23,6
2016-01-23,1
2016-01-23,1
2016-01-23,1
2016-01-24,12
2016-01-24,2
2016-01-29,26
2016-01-29,13
2016-01-29,1
2016-01-29,1
2016-01-29,1
2016-01-29,1
2016-01-31,1
2016-02-01,121
2016-02-01,37
2016-02-01,35
2016-02-06,135
2016-02-06,28
2016-02-10,1
2016-02-10,1
