flux,imi
1,1
1,1
1,1
2,1
2,1
2,1
2,1
2,1
3,1
3,1
3,1
5,0.2
11,0.01
13,0
15,1
16,1
17,1
17,1
20,1
21,0.99
24,1
25,1
25,1
27,0.01
28,1
29,0.01
29,0.01
33,0.02
35,0.02
36,1
39,1
40,0
41,0.56
50,0
51,0
52,0.02
57,0.02
60,0
60,0
62,0
64,1
64,0
64,0.01
69,0
69,0
72,0
72,0
72,0
73,0.01
75,0.96
75,0.99
76,1
78,0
79,0
79,0.01
79,1
81,0
81,1
83,1
84,0
85,0
85,0
85,0.01
88,1
89,1
91,1
97,0
99,0.01
100,0
100,0.98
102,0.96
103,0.08
105,0
106,0.01
106,0.01
107,0
110,1
112,0.1
114,0.05
115,0.02
118,0
119,0.98
119,0
120,1
122,0
123,1
124,0.99
124,2
126,0
128,0
129,0.02
129,0.02
129,0
130,0.3
132,1
132,1
133,0.99
133,0.01
134,0.29
134,0.7
135,1
136,0.99
137,0.98
139,0
139,0
140,0.04
140,0.07
140,1
141,0.03
142,1
142,1
143,0.54
144,0.07
144,0.02
145,0
146,1
146,0
147,1
148,1
151,1
151,0
152,0
152,0
154,0.01
154,1
155,0.01
156,0.01
157,1
157,0.1
157,1
158,0
158,0.99
158,1
159,0.11
159,0.1
159,1
160,0.02
160,0
161,1
162,1
165,1
165,0
165,0
167,0
169,0.01
170,0
171,0.65
172,0
173,0.99
174,0
175,0.68
175,1
176,0
176,0
176,0.26
176,0
176,0
177,0.01
178,5
178,0.84
181,0.99
181,0.83
182,0.01
183,0.07
183,0.01
183,0
184,0.63
185,0
186,0
186,0.02
187,1
187,0.85
187,1
187,1
189,0.01
190,0.05
190,0
191,0.12
191,0.24
191,1
191,0.01
192,0.73
192,1
194,0
195,0
195,1
196,0.14
196,0.03
196,0.02
196,1
197,0.02
197,0.01
198,0
198,0.99
198,0.95
199,0
199,0.52
200,0.05
201,0.01
202,0.07
202,0.99
202,0.68
203,0.17
203,0
203,0.01
205,0
205,0.95
206,0.03
206,0.01
206,0.04
207,0.21
208,0.76
208,0.37
208,1
209,0.23
209,0.02
209,0.99
212,0
215,0.28
216,0.06
217,0.99
217,0.01
218,0.06
218,0.06
219,0.02
221,0.14
221,0
221,0
221,0.04
224,0.99
224,0.52
227,0.03
228,0.03
228,0.98
229,1
229,0.52
229,0
230,0.06
231,1
231,0
232,1
232,1
233,0
234,1
235,0.01
237,0.06
238,0.82
238,0
238,0
239,0
240,0.97
240,0.01
241,0
242,0.01
243,0.06
244,0.02
245,0
247,0.03
247,0.01
249,1
251,0.7
251,0
251,0.06
252,0.02
253,0.54
254,0.32
255,0.08
256,0.43
256,0
256,0
257,0.52
258,0.46
258,1
260,0.62
261,0.03
261,0.08
262,0.02
262,0
264,0.37
264,0.7
266,0
268,0.01
268,1
269,0.22
270,0
270,0.66
271,0.36
271,0.35
272,0
272,0
272,0
273,0.02
273,0.45
273,0.17
274,0
274,0
274,0.01
274,0
274,1
276,0.05
277,0.01
278,0.35
279,0.04
279,0.21
279,0
282,0.03
282,0
285,0.96
285,0
288,0
288,4
289,0.4
289,0.35
289,0.08
290,0.05
290,0.06
290,0
