flux,cfd
400,2
230,1
250,29
250,30
250,27
320,47
470,24
806,1
470,21
470,27
806,33
1055,31
470,5
470,4
470,6
420,18
420,41
530,8
250,29
320,29
470,26
530,7
700,1
440,3
810,1
380,2
200,86
570,6
210,89
400,4
1000,13
180,6
420,1
210,86
210,86
420,1
210,86
210,85
230,60
430,73
1050,1
700,8
220,11
620,5
200,135
510,135
600,1
500,19
400,31
450,90
600,16
806,2
806,1
470,3
470,1
250,1
250,2
600,43
220,86
100,46
200,34
300,24
300,3
350,25
420,47
410,9
806,1
200,41
150,59
430,57
300,74
1000,17
540,5
806,1
120,1
220,87
480,1
450,1
220,48
90,23
420,1
200,89
200,89
720,1
125,90
420,132
420,1
380,1
410,13
220,71
430,49
230,39
430,42
220,5
250,1
250,1
220,1
160,21
200,26
250,25
150,24
250,27
220,69
220,71
105,31
810,29
450,1
420,1
210,49
250,1
230,16
810,28
250,1
210,84
470,1
330,10
806,1
250,93
470,1
230,63
806,1
250,1
420,14
440,1
420,1
200,69
210,71
210,65
220,61
210,68
220,63
250,62
420,59
525,1
315,1
350,1
350,2
200,95
210,96
530,74
806,1
806,1
300,46
210,89
210,90
450,1
200,57
200,57
250,25
250,28
320,1
220,59
250,1
220,63
240,1
470,1
810,24
600,1
400,69
222,25
208,30
806,16
250,1
200,40
350,56
370,39
250,1
300,63
150,1
250,1
500,1
704,1
720,1
460,1
460,1
390,1
710,1
450,1
1000,1
850,1
420,1
250,1
220,87
220,87
220,88
220,88
220,86
220,86
220,87
430,4
430,1
430,4
220,1
220,1
470,1
450,43
180,88
550,1
670,1
220,49
350,68
190,69
160,48
290,89
320,14
400,20
180,85
400,1
360,48
400,1
470,1
470,2
280,26
250,6
345,1
400,1
470,1
400,12
806,2
160,26
1055,13
470,1
210,1
500,1
650,1
600,1
360,121
300,37
300,35
800,135
,28
420,1
600,1
400,1
580,3
300,2
300,1
300,2
220,88
200,89
220,89
100,83
220,2
200,2
210,87
220,92
200,89
200,90
200,90
180,88
180,86
320,30
320,130
380,134
200,88
220,88
810,1
400,19
600,8
470,1
806,1
250,1
470,4
250,1
210,88
345,132
210,89
330,130
450,1
800,1
370,22
330,31
345,44
470,37
400,1
200,85
640,1
360,21
270,25
470,8
470,13
470,13
470,9
650,18
640,1
640,1
810,1
250,51
470,59
250,1
470,1
640,1
446,12
446,12
446,9
608,18
770,29
608,1
770,1
238,35
446,56
238,34
446,53
238,1
446,1
446,1
608,1
770,1
608,19
400,20
300,9
1500,1
1320,1
380,28
250,19
1521,10
806,5
470,52
250,1
330,1
110,12
250,23
470,3
470,7
230,1
470,1
250,1
250,1
145,126
200,126
380,28
550,2
806,3
350,28
350,26
350,27
,1
250,1
400,1
250,1
400,1
250,10
250,10
250,10
250,10
470,1
230,65
230,58
250,41
430,75
250,1
150,27
180,15
200,17
720,20
250,16
250,13
120,23
150,21
320,18
200,91
230,57
70,39
60,48
638,1
810,29
250,38
470,1
446,14
350,23
720,18
470,3
806,6
250,28
470,1
140,31
400,46
806,1
470,1
250,1
470,1
250,1
250,1
470,1
140,30
600,3
400,5
800,4
806,17
250,4
1055,2
470,24
136,11
325,13
250,11
350,40
200,86
350,1
350,39
350,1
550,1
1350,4
1550,5
470,1
250,1
270,14
270,14
600,1
1000,1
810,1
700,9
320,18
620,17
470,16
250,17
470,33
806,32
1055,33
470,6
1300,25
420,35
140,51
200,30
200,29
427,92
450,1
806,1
250,1
250,1
250,1
806,1
250,1
250,1
400,1
250,1
400,1
250,1
470,1
810,1
125,20
806,1
400,1
380,1
1700,1
1055,1
1400,1
410,1
400,130
320,128
200,114
600,131
250,33
250,30
220,1
220,1
220,1
220,4
220,6
430,1
430,4
430,3
427,92
500,17
400,30
580,1
180,50
260,32
200,41
1955,1
470,29
470,20
806,1
470,1
470,3
250,1
470,1
250,1
1055,1
250,1
250,1
800,3
750,18
350,131
470,134
520,1
450,46
320,47
345,1
345,1
470,15
210,86
470,16
400,29
630,42
250,16
200,28
75,26
810,1
250,1
250,1
970,1
430,25
720,29
150,1
660,137
810,1
300,24
450,42
427,92
810,1
250,56
250,57
806,15
1055,19
470,32
470,33
470,18
470,57
806,23
220,1
430,7
430,8
1521,30
1710,1
806,6
470,1
600,112
400,30
400,28
400,6
400,6
500,116
230,5
250,37
470,18
190,3
480,56
480,63
360,28
480,46
880,1
470,1
400,65
720,1
600,2
400,1
550,132
400,131
400,1
900,47
640,1
1055,1
330,3
450,129
400,1
550,1
1521,1
806,1
1055,1
360,1
638,4
150,1
400,1
250,1
250,1
600,132
600,131
600,131
600,128
300,2
600,128
190,82
600,130
450,89
400,12
710,3
400,4
320,46
245,36
470,1
470,8
600,56
806,4
400,1
400,1
400,1
300,132
600,132
600,132
450,134
380,1
600,46
400,33
600,88
400,129
500,8
400,128
360,132
600,132
200,117
400,134
600,131
600,130
400,88
400,44
600,47
600,40
400,131
200,129
350,129
800,1
380,1
400,1
310,1
330,1
400,28
400,28
400,31
180,89
470,35
470,36
470,35
470,34
1521,1
420,90
806,1
810,9
470,1
810,1
20,1
200,14
1200,1
300,1
300,1
600,1
800,1
470,1
200,38
600,131
360,131
360,91
360,131
960,4
1000,5
100,1
600,78
400,86
600,86
380,1
450,132
400,28
806,1
806,1
880,6
450,9
470,27
810,15
460,2
760,6
250,1
250,1
250,1
470,1
806,1
1521,1
600,5
350,1
400,4
350,1
350,2
840,1
840,1
150,1
806,1
700,11
140,1
180,1
200,1
390,3
400,67
400,67
400,84
500,80
400,88
400,84
180,133
180,134
600,129
600,129
140,8
180,9
806,1
470,1
250,1
1521,14
1055,15
810,10
470,4
470,1
470,1
806,1
470,1
806,1
1055,1
1521,12
300,1
300,1
470,1
1521,1
806,1
400,129
50,14
100,37
300,1
200,1
200,1
65,1
470,1
470,8
420,61
360,130
420,32
440,1
440,1
420,88
400,31
400,85
250,28
750,1
680,1
840,1
140,91
2452,1
560,1
1000,1
350,1
400,17
400,19
300,127
200,119
250,1
470,1
300,127
470,23
350,82
806,1
1055,24
1090,3
1000,1
806,1
806,11
600,132
806,3
806,2
810,8
810,7
700,1
420,4
65,1
65,1
65,1
200,1
450,1
2050,1
300,5
440,18
1055,1
80,1
400,130
500,1
470,1
470,1
1055,1
806,1
470,3
245,1
470,1
806,1
