frequency,svm
76.84339186,24.612297
97.72525688,25.4468619
120.7756233,27.2812828
141.5771734,29.3513463
160.1299073,31.4506954
178.4015392,33.5983088
196.8264995,35.6606865
213.0574037,37.7550181
230.4054146,39.8401824
245.2026254,41.8585056
260.7644338,44.023021
276.5061474,46.0904779
292.35008,48.1460182
306.3029625,50.1213949
322.1926246,52.1753437
338.6609294,54.2727818
354.0903074,56.4506225
370.9564292,58.5378535
387.8225509,60.6021279
404.6886727,62.6172094
422.1169985,64.6538612
440.1075283,66.7061393
458.6602623,68.7590084
477.7752003,70.7949254
497.4523423,72.8294441
518.2538924,74.8934536
540.1798507,76.9702467
563.2302171,79.008818
586.8427875,81.0137055
610.455358,82.8710144
634.0679284,84.5854299
657.6804989,86.1569518
681.2930693,87.5832376
704.9056398,88.8596024
728.5182102,89.976676
752.1307807,90.9672537
775.7433511,91.901611
799.3559216,92.730555
822.968492,93.4892236
846.5810625,94.1752741
870.1936329,94.8027616
893.8062033,95.3763713
917.4187738,95.9031307
941.0313442,96.3853822
964.6439147,96.8160984
988.2564851,97.2187043
1011.869056,97.5721174
1035.481626,97.8974203
1059.094196,98.185243
1082.706767,98.4262153
1106.319337,98.6507899
1129.931908,98.8331993
1153.544478,98.9593883
1177.157049,99.0738646
1200.769619,99.1719434
1224.38219,99.2559671
1247.99476,99.3212506
1271.60733,99.3865341
1295.219901,99.4611877
1318.832471,99.488991
1342.445042,99.5425619
1366.057612,99.5914478
1389.670183,99.6215936
1413.282753,99.6939046
1436.895324,99.6959402
1460.507894,99.7214009
1484.120465,99.7983971
1507.733035,99.8004326
1531.345605,99.8118383
1554.958176,99.9028895
1578.570746,99.904925
1602.183317,99.9069606
1625.795887,99.9089962
1649.408458,99.9367994
1673.021028,100.011453
1696.633599,100.0134886
1720.246169,100.0155241
1743.858739,100.0175597
1767.47131,100.0383354
1791.08388,100.112989
1814.696451,100.1220521
1838.309021,100.1240877
1861.921592,100.1261232
1885.534162,100.1281588
1909.146733,100.1301944
1932.759303,100.1322299
1956.371873,100.1342655
1979.984444,100.1363011
1994.039545,100.1375127
