id,Incandescent,Halogen,CFL,LED
1,67.17325228,2.127659574,30.09118541,0.607902736
2,65.04559271,2.431610942,32.21884498,0.303951368
3,64.74164134,3.343465046,31.00303951,0.911854103
4,62.61398176,4.863221884,31.61094225,0.911854103
5,59.27051672,6.990881459,32.82674772,0.911854103
6,55.92705167,8.510638298,34.65045593,0.911854103
7,61.70212766,8.814589666,28.57142857,0.911854103
8,55.6231003,13.37386018,29.17933131,1.823708207
9,56.83890578,16.41337386,25.22796353,1.519756839
10,32.52279635,26.443769,37.6899696,3.343465046
11,14.58966565,39.20972644,41.64133739,4.559270517
12,7.902735562,40.12158055,46.80851064,5.167173252
13,10.3343465,44.68085106,39.20972644,5.775075988
14,10.94224924,44.68085106,31.00303951,13.37386018
15,9.726443769,48.32826748,27.65957447,14.28571429
16,9.726443769,49.54407295,23.40425532,17.32522796
17,9.118541033,44.98480243,18.8449848,27.05167173
18,12.76595745,50.75987842,15.80547112,20.66869301
19,10.3343465,44.07294833,13.06990881,32.52279635
20,10.03039514,50.75987842,10.03039514,29.17933131
21,9.422492401,44.98480243,13.67781155,31.91489362
22,10.94224924,46.80851064,12.76595745,29.48328267
23,0,38.75338753,13.5501355,47.69647696
24,0,42.00542005,13.82113821,44.17344173
25,0,36.58536585,9.214092141,54.20054201
26,0,39.56639566,8.401084011,52.03252033
27,0,30.62330623,5.420054201,63.95663957
28,0,31.97831978,8.130081301,59.89159892
29,0,27.64227642,7.317073171,65.04065041
30,0,27.37127371,5.149051491,67.4796748
31,0,24.66124661,4.87804878,70.46070461
32,0,24.66124661,4.33604336,71.00271003
