wavelength,intensity
410,0.007321945
415,0.008911965
420,0.015462415
425,0.034109042
428.3173077,0.060825062
430,0.086969563
432.6442308,0.120231488
434.375,0.155878608
435,0.176586971
436.9711538,0.210198185
437.8365385,0.247546363
439.1346154,0.284892908
439.1346154,0.332431109
440,0.385689917
440.4326923,0.429200405
441.7307692,0.475035915
442.1634615,0.525968068
442.5961538,0.566713465
445,0.619761734
446.0576923,0.653287841
449.0865385,0.619320556
449.9519231,0.585361434
450,0.516659996
450.3846154,0.548008358
451.25,0.485186757
452.5480769,0.446132624
452.9807692,0.401988377
455,0.363536755
456.875,0.334061969
460,0.313012594
463.3653846,0.284801489
465,0.248107487
466.8269231,0.2202723
467.6923077,0.206686692
470,0.194347165
473.3173077,0.196478712
477.2115385,0.211744156
480,0.221236228
482.8365385,0.235492033
485,0.251739965
488.4615385,0.272822254
490,0.290736076
492.7884615,0.316948544
495,0.334923858
497.9807692,0.35597819
500,0.376576705
502.7403846,0.395009468
505,0.411415908
508.3653846,0.435735275
511.8269231,0.456095729
515,0.471155477
520,0.499540406
525,0.52240497
530,0.54806787
535,0.567371476
540,0.585685027
545,0.599147921
555,0.634018602
560,0.651571772
565,0.667594111
570,0.693818472
575,0.71839475
580,0.748863203
583.6538462,0.771614209
587.5480769,0.79706641
590,0.817103713
595,0.850809008
600,0.895917805
605,0.926166251
610,0.962721383
615,0.983920283
620,0.990775372
625,0.969611119
630,0.936746209
632.5480769,0.907253167
635,0.867378573
638.1730769,0.830831266
640,0.793288661
642.9326923,0.756110422
645,0.719925103
648.5576923,0.669501763
652.0192308,0.628741674
655,0.577023496
660,0.515987485
662.8365385,0.480992882
665,0.453089818
670,0.404556508
675,0.357375177
680,0.31367953
685,0.274773895
690,0.238836786
695,0.207327903
700,0.181221549
705,0.155551153
710,0.133916115
715,0.115056108
720,0.100626954
725,0.084227642
730,0.072811134
735,0.064315874
740,0.053945138
745,0.045391453
750,0.033419083
755,0.029225183
760,0.02359916
765,0.018238191
770,0.015088586
777.0673077,0.013668865
785.7211538,0.006845044
792.6442308,0.001725545
