year,policies
1984,1
1985,3
1986,4
1986,5
1990,6
1992,8
1993,9
1993,10
1993,12
1993,13
1993,16
1994,21
1995,23
1996,26
1996,27
1996,30
1998,32
1999,34
2000,43
2001,45
2002,52
2002,55
2003,70
2003,71
2004,76
2004,81
2004,82
2004,84
2005,85
2005,86
2005,92
2005,94
2006,96
2006,97
2006,98
2006,103
2007,105
2007,120
2008,121
2008,124
2008,134
2009,139
2009,140
2009,145
2009,153
2010,170
2011,173
2011,178
2011,185
2012,206
2013,208
2013,212
2013,229
2014,230
2014,232
2014,236
2014,238
2014,244
2015,249
2015,251
2015,256
2015,267
2016,272
2016,284
2016,288
2017,289
2017,290
2017,291
2017,292
2017,294
2018,300
