flux,eff1,eff2
60,5.59070673,10.24962901
110,6.84017085,12.54031323
160,7.66711712,14.05638139
210,8.28511767,15.18938239
260,8.77710281,16.09135515
310,9.18453241,16.83830942
360,9.53124575,17.47395054
410,9.83225074,18.02579303
460,10.0976205,18.51230423
510,10.3344475,18.94648704
560,10.547915,19.33784424
610,10.7419261,19.69353119
660,10.9194924,20.01906931
710,11.0829859,20.31880741
760,11.2343077,20.59623081
810,11.3750045,20.85417494
860,11.5063509,21.09497672
910,11.6294097,21.32058439
960,11.7450756,21.53263865
