flux,eff1,eff2
10,6.110967206,15.27741802
20,8.137557863,20.34389466
30,9.539013643,23.84753411
40,10.63036937,26.57592342
50,11.53064774,28.82661935
100,14.59854015,36.49635036
150,16.54920878,41.37302195
200,17.98150475,44.95376188
250,19.11021194,47.77552985
300,20.03871004,50.0967751
350,20.82509471,52.06273679
400,21.50537634,53.76344086
450,22.10345353,55.25863383
500,22.63600938,56.59002345
550,23.11515392,57.7878848
600,23.54995576,58.8748894
650,23.94738096,59.8684524
700,24.31289521,60.78223802
750,24.65086466,61.62716164
800,24.9648313,62.41207825
850,25.25770723,63.14426808
900,25.53191489,63.82978723
950,25.78949041,64.47372602
1000,26.03216106,65.08040265
1050,26.26140432,65.6535108
1100,27.24424465,68.11061163
1150,27.24424465,68.11061163
1200,27.24424465,68.11061163
1250,27.24424465,68.11061163
1300,27.24424465,68.11061163
1350,27.24424465,68.11061163
1400,27.24424465,68.11061163
1450,27.24424465,68.11061163
1500,27.24424465,68.11061163
