flux,eff
10,6.315789474
20,12
30,17.14285714
40,21.81818182
50,26.08695652
100,42.85714286
150,54.54545455
200,63.15789474
250,69.76744186
300,75
350,79.24528302
400,82.75862069
450,85.71428571
500,88.23529412
550,90.4109589
600,92.30769231
650,93.97590361
700,95.45454545
750,96.77419355
800,97.95918367
850,99.70916142
900,101.3850416
950,102.9969149
1000,104.5531197
1050,106.0606061
1100,107.5252133
1150,108.9518836
1200,110.3448276
1250,111.707655
1300,113.0434783
1350,114.3549952
1400,115.6445557
1450,116.9142164
1500,118.1657848
