date,data
2019-10-01,1
2019-10-02,5
2019-10-03,11
2019-10-04,19
2019-10-05,19
2019-10-06,19
2019-10-07,24
2019-10-08,25
2019-10-09,32
2019-10-10,41
2019-10-11,57
2019-10-12,58
2019-10-13,61
2019-10-14,78
2019-10-15,82
2019-10-16,92
2019-10-17,103
2019-10-18,111
2019-10-19,111
2019-10-20,113
2019-10-21,124
2019-10-22,128
2019-10-23,136
2019-10-24,140
2019-10-25,147
2019-10-26,155
2019-10-27,156
2019-10-28,168
2019-10-29,174
2019-10-30,177
2019-10-31,184
2019-11-01,188
2019-11-02,188
2019-11-03,191
2019-11-04,197
2019-11-05,201
2019-11-06,206
2019-11-07,210
2019-11-08,219
2019-11-09,222
2019-11-10,222
2019-11-11,233
2019-11-12,242
2019-11-13,248
2019-11-14,253
2019-11-15,254
2019-11-16,255
2019-11-17,255
2019-11-18,257
2019-11-19,258
2019-11-20,258
2019-11-21,260
2019-11-22,264
2019-11-23,265
2019-11-24,271
2019-11-25,276
2019-11-26,280
2019-11-27,280
2019-11-28,284
2019-11-29,287
2019-11-30,288
2019-12-01,288
2019-12-02,293
2019-12-03,298
2019-12-04,303
2019-12-05,304
2019-12-06,305
2019-12-07,307
2019-12-08,309
2019-12-09,311
2019-12-10,313
2019-12-11,315
2019-12-12,315
2019-12-13,322
2019-12-14,325
2019-12-15,327
2019-12-16,328
2019-12-17,329
2019-12-18,331
2019-12-19,331
2019-12-20,331
2019-12-21,331
2019-12-22,331
2019-12-23,331
2019-12-24,331
2019-12-25,331
2019-12-26,331
2019-12-27,331
2019-12-28,331
2019-12-29,331
2019-12-30,331
2019-12-31,331
2020-01-01,331
2020-01-02,331
2020-01-03,331
2020-01-04,334
2020-01-05,336
2020-01-06,338
2020-01-07,341
2020-01-08,344
2020-01-09,353
2020-01-10,354
2020-01-11,357
2020-01-12,365
2020-01-13,369
2020-01-14,374
2020-01-15,376
2020-01-16,378
2020-01-17,388
2020-01-18,388
2020-01-19,391
2020-01-20,399
2020-01-21,405
2020-01-22,411
2020-01-23,413
2020-01-24,416
2020-01-25,416
2020-01-26,417
2020-01-27,418
2020-01-28,421
2020-01-29,426
2020-01-30,429
2020-01-31,430
2020-02-01,431
2020-02-02,433
2020-02-03,437
2020-02-04,438
2020-02-05,440
2020-02-06,443
2020-02-07,445
2020-02-08,446
2020-02-09,452
2020-02-10,455
2020-02-11,455
2020-02-12,457
2020-02-13,462
2020-02-14,465
2020-02-15,465
2020-02-16,468
2020-02-17,470
2020-02-18,472
2020-02-19,474
2020-02-20,477
2020-02-21,477
2020-02-22,477
2020-02-23,479
2020-02-24,485
2020-02-25,498
2020-02-26,509
2020-02-27,519
2020-02-28,526
2020-02-29,526
2020-03-01,526
2020-03-02,528
2020-03-03,540
2020-03-04,550
2020-03-05,560
2020-03-06,567
2020-03-07,574
2020-03-08,579
2020-03-09,586
2020-03-10,590
2020-03-11,595
2020-03-12,597
2020-03-13,602
2020-03-14,604
2020-03-15,608
2020-03-16,612
2020-03-17,620
2020-03-18,627
2020-03-19,628
2020-03-20,630
2020-03-21,630
2020-03-22,633
2020-03-23,638
2020-03-24,643
2020-03-25,650
2020-03-26,653
2020-03-27,654
2020-03-28,654
2020-03-29,657
2020-03-30,658
2020-03-31,665
2020-04-01,667
2020-04-02,668
2020-04-03,671
2020-04-04,671
2020-04-05,672
2020-04-06,676
2020-04-07,681
2020-04-08,683
2020-04-09,690
2020-04-10,690
2020-04-11,690
2020-04-12,692
2020-04-13,699
2020-04-14,703
2020-04-15,711
2020-04-16,711
2020-04-17,711
2020-04-18,714
2020-04-19,720
2020-04-20,724
2020-04-21,730
2020-04-22,731
2020-04-23,734
2020-04-24,735
2020-04-25,735
2020-04-26,736
2020-04-27,738
2020-04-28,739
2020-04-29,744
2020-04-30,750
2020-05-01,754
2020-05-02,755
2020-05-03,764
2020-05-04,765
2020-05-05,767
2020-05-06,770
2020-05-07,777
2020-05-08,783
2020-05-09,783
2020-05-10,789
2020-05-11,792
2020-05-12,806
2020-05-13,814
2020-05-14,831
2020-05-15,836
2020-05-16,841
2020-05-17,844
2020-05-18,850
2020-05-19,852
2020-05-20,860
2020-05-21,872
2020-05-22,876
2020-05-23,877
2020-05-24,878
2020-05-25,887
2020-05-26,891
2020-05-27,895
2020-05-28,896
2020-05-29,901
2020-05-30,901
2020-05-31,904
2020-06-01,905
2020-06-02,911
2020-06-03,919
2020-06-04,928
2020-06-05,937
2020-06-06,938
2020-06-07,939
2020-06-08,953
2020-06-09,960
2020-06-10,964
2020-06-11,968
2020-06-12,970
2020-06-13,971
2020-06-14,971
2020-06-15,971
2020-06-16,975
2020-06-17,977
2020-06-18,980
2020-06-19,981
2020-06-20,981
2020-06-21,983
2020-06-22,988
2020-06-23,993
2020-06-24,996
2020-06-25,998
2020-06-26,1002
2020-06-27,1007
2020-06-28,1014
2020-06-29,1015
2020-06-30,1018
2020-07-01,1028
2020-07-02,1029
2020-07-03,1034
2020-07-04,1034
2020-07-05,1034
2020-07-06,1034
2020-07-07,1034
2020-07-08,1037
2020-07-09,1039
2020-07-10,1041
2020-07-11,1045
2020-07-12,1046
2020-07-13,1049
2020-07-14,1052
2020-07-15,1053
2020-07-16,1056
2020-07-17,1057
2020-07-18,1057
2020-07-19,1057
2020-07-20,1059
2020-07-21,1060
2020-07-22,1062
2020-07-23,1062
2020-07-24,1064
2020-07-25,1064
2020-07-26,1064
2020-07-27,1068
2020-07-28,1068
2020-07-29,1073
2020-07-30,1073
2020-07-31,1073
2020-08-01,1075
2020-08-02,1075
2020-08-03,1076
2020-08-04,1077
2020-08-05,1083
2020-08-06,1086
2020-08-07,1091
2020-08-08,1094
2020-08-09,1096
2020-08-10,1101
2020-08-11,1106
2020-08-12,1107
2020-08-13,1111
2020-08-14,1111
2020-08-15,1111
2020-08-16,1112
2020-08-17,1117
2020-08-18,1121
2020-08-19,1121
2020-08-20,1127
2020-08-21,1128
2020-08-22,1128
2020-08-23,1131
2020-08-24,1134
2020-08-25,1139
2020-08-26,1141
2020-08-27,1142
2020-08-28,1144
2020-08-29,1145
2020-08-30,1146
2020-08-31,1146
2020-09-01,1151
2020-09-02,1153
2020-09-03,1153
2020-09-04,1160
2020-09-05,1160
2020-09-06,1165
2020-09-07,1165
2020-09-08,1166
2020-09-09,1171
2020-09-10,1175
2020-09-11,1179
2020-09-12,1180
2020-09-13,1182
2020-09-14,1183
2020-09-15,1184
2020-09-16,1189
2020-09-17,1190
2020-09-18,1192
2020-09-19,1192
2020-09-20,1196
2020-09-21,1197
2020-09-22,1206
2020-09-23,1212
2020-09-24,1218
