date,data
2019-11-26,0
2019-12-06,192
2019-12-06,192
2019-12-06,192
2019-12-06,192
2019-12-06,252
2019-12-08,252
2019-12-16,258
2019-12-16,258
2019-12-19,258
2019-12-19,258
2019-12-19,258
2019-12-19,258
2019-12-19,258
2020-01-10,258
2020-01-14,258
2020-01-21,468
2020-01-21,716
2020-01-22,724
2020-01-23,887
2020-01-24,985
2020-01-24,986
2020-01-24,986
2020-01-24,986
2020-01-24,986
2020-01-27,986
2020-01-28,986
2020-01-28,1343
2020-01-28,1894
2020-01-29,2631
2020-02-03,2655
2020-02-03,2792
2020-02-04,2967
2020-02-05,2967
2020-02-06,3433
2020-02-07,3494
2020-02-10,3829
2020-02-13,4246
2020-02-14,4293
2020-02-15,4365
2020-02-17,4547
2020-02-18,4618
2020-02-19,4618
2020-02-24,4768
2020-02-28,4873
2020-02-28,4873
2020-03-01,4873
2020-03-04,5392
2020-03-05,5613
2020-03-08,5882
2020-03-10,6006
2020-03-11,6032
2020-03-11,6034
2020-03-13,6233
2020-03-17,6233
2020-03-21,6233
2020-03-23,6233
2020-03-27,6546
2020-03-29,6546
2020-03-30,6431
2020-03-30,6431
2020-03-30,6431
2020-03-30,6431
2020-03-30,6431
2020-04-02,6869
2020-04-02,6869
2020-04-02,6869
2020-04-05,6869
2020-04-05,7111
2020-04-13,7281
2020-04-20,7281
2020-04-20,7281
2020-04-20,7281
2020-04-20,7281
2020-04-20,7281
2020-04-20,7281
2020-04-20,7281
2020-04-20,8145
2020-04-25,8501
2020-05-10,9181
2020-05-11,9183
2020-05-22,9722
2020-06-02,9880
2020-06-02,9961
2020-06-03,9961
2020-06-03,9961
2020-06-04,10838
2020-06-05,10787
2020-06-05,11613
2020-06-05,11613
2020-06-05,11722
2020-06-24,11722
2020-06-25,11750
2020-08-31,11750
2020-09-03,11763
2020-09-04,11910
2020-09-04,13169
2020-09-04,13347
2020-09-04,13578
2020-09-07,13681
2020-09-07,14214
2020-09-08,14228
2020-09-08,14456
2020-09-08,14656
2020-09-08,14824
2020-09-08,14946
2020-09-08,15444
2020-09-09,15520
2020-09-09,15875
2020-09-09,16028
2020-09-09,16372
2020-09-10,16372
2020-09-11,16353
2020-09-11,16359
2020-09-13,17110
2020-09-13,17802
2020-09-13,18513
2020-09-14,18513
2020-09-14,18620
2020-09-14,18482
2020-09-15,19039
2020-09-16,19553
2020-09-17,19837
2020-09-17,19954
2020-09-18,20136
2020-09-18,20166
2020-09-19,20260
2020-09-19,20294
2020-09-19,20294
2020-09-19,20416
2020-09-19,20416
2020-09-19,20527
2020-09-20,21458
2020-09-20,21547
2020-09-20,21547
2020-09-24,21547
2020-09-25,21547
2020-09-25,21407
2020-09-27,21730
2020-09-27,21730
2020-09-28,21732
2020-10-01,21732
2020-10-01,21950
2020-10-01,22915
2020-10-02,22924
2020-10-02,22720
2020-10-02,23019
2020-10-04,23048
2020-10-04,23146
2020-10-04,23192
2020-10-04,23183
2020-10-04,23277
2020-10-07,23314
2020-10-07,23699
2020-10-08,23729
2020-10-08,23730
2020-10-09,23872
2020-10-09,23877
2020-10-09,23879
2020-10-09,24283
2020-10-10,25184
2020-10-10,25184
2020-10-10,25316
2020-10-10,25316
2020-10-10,26255
2020-10-11,29442
2020-10-11,29567
2020-10-13,29696
2020-10-14,29723
2020-10-17,29987
2020-10-18,30195
2020-10-18,30224
2020-10-18,30272
2020-10-18,30413
2020-10-18,30474
2020-10-18,30480
2020-10-18,30521
2020-10-18,30521
2020-10-19,30879
2020-10-19,31388
2020-10-19,31064
2020-10-20,31220
2020-10-20,32457
2020-10-20,32562
2020-10-21,33283
2020-10-21,33320
2020-10-24,33378
2020-10-24,33422
2020-10-24,33394
2020-10-25,33637
2020-10-25,33773
2020-10-25,33884
2020-10-25,33884
2020-10-25,33884
2020-10-25,34466
2020-10-26,34531
2020-10-27,34537
2020-10-27,34543
2020-10-28,34551
2020-10-29,34608
2020-10-29,34724
2020-10-29,34748
2020-10-29,34749
2020-10-30,34749
2020-10-30,34749
2020-11-18,34749
2020-11-19,35571
