data,date
1,2019-10-18
47,2019-10-22
97,2019-10-29
99,2019-10-30
105,2019-10-31
126,2019-11-05
129,2019-11-06
137,2019-11-07
143,2019-11-08
150,2019-11-11
166,2019-11-12
174,2019-11-13
182,2019-11-14
188,2019-11-28
204,2019-12-04
207,2019-12-13
216,2019-12-14
225,2019-12-15
233,2019-12-16
234,2019-12-20
235,2020-01-05
236,2020-01-13
248,2020-01-17
249,2020-01-19
255,2020-01-20
257,2020-01-22
261,2020-01-26
262,2020-01-28
279,2020-01-31
285,2020-02-03
287,2020-02-05
290,2020-02-10
293,2020-02-13
305,2020-02-14
307,2020-02-17
309,2020-02-18
315,2020-02-19
318,2020-02-24
319,2020-02-25
320,2020-02-27
324,2020-03-02
330,2020-03-03
331,2020-03-04
338,2020-03-05
344,2020-03-06
346,2020-03-07
348,2020-03-08
358,2020-03-10
360,2020-03-11
378,2020-03-13
388,2020-03-17
410,2020-03-18
424,2020-03-19
430,2020-03-20
436,2020-03-21
444,2020-03-23
446,2020-03-24
450,2020-03-26
462,2020-03-29
463,2020-03-30
471,2020-03-31
472,2020-04-01
478,2020-04-02
481,2020-04-03
483,2020-04-05
490,2020-04-06
494,2020-04-07
499,2020-04-08
511,2020-04-09
519,2020-04-10
521,2020-04-11
530,2020-04-12
532,2020-04-13
545,2020-04-14
559,2020-04-17
571,2020-04-19
572,2020-04-20
575,2020-04-21
576,2020-04-22
583,2020-04-24
584,2020-04-25
585,2020-04-26
591,2020-04-27
599,2020-04-28
602,2020-05-01
607,2020-05-04
609,2020-05-05
610,2020-05-06
614,2020-05-13
619,2020-05-14
626,2020-05-16
627,2020-07-10
634,2020-07-13
637,2020-07-15
641,2020-07-16
645,2020-07-26
648,2020-08-04
651,2020-08-08
652,2020-08-09
654,2020-08-13
656,2020-08-20
658,2020-08-24
659,2020-08-25
661,2020-08-26
682,2020-08-27
683,2020-09-07
687,2020-09-08
689,2020-09-16
692,2020-09-18
695,2020-09-20
698,2020-09-22
700,2020-09-24
703,2020-09-25
704,2020-10-01
705,2020-10-11
706,2020-10-13
710,2020-10-14
712,2020-10-15
713,2020-10-16
715,2020-10-19
716,2020-10-21
719,2020-10-26
728,2020-10-27
731,2020-10-28
733,2020-11-05
734,2020-11-07
