date,data
2019-12-03,253
2019-12-03,264
2019-12-06,121
2019-12-06,121
2019-12-06,121
2019-12-06,121
2019-12-06,121
2019-12-08,121
2019-12-13,134
2019-12-13,134
2019-12-13,134
2019-12-13,134
2019-12-14,262
2020-01-10,367
2020-02-04,488
2020-02-05,501
2020-02-05,525
2020-02-06,525
2020-02-06,666
2020-02-06,666
2020-02-06,666
2020-02-06,666
2020-02-06,666
2020-02-06,666
2020-02-06,938
2020-02-07,938
2020-02-21,940
2020-02-21,940
2020-02-21,939
2020-02-21,939
2020-02-24,1022
2020-03-01,1237
2020-03-02,1022
2020-03-03,1563
2020-03-05,1838
2020-03-09,1838
2020-03-23,2759
2020-03-25,4561
2020-03-26,4378
2020-03-29,4647
2020-03-31,3611
2020-04-02,3840
2020-04-21,3852
2020-04-21,4010
2020-04-21,4029
2020-04-21,4029
2020-04-21,4014
2020-04-21,4014
2020-04-21,4014
2020-04-21,4014
2020-04-21,4042
2020-04-21,3990
2020-04-21,3990
2020-04-21,4280
2020-05-09,4700
2020-05-09,4696
2020-05-10,4875
2020-05-10,4876
2020-05-12,4800
2020-05-13,4872
2020-08-24,6298
2020-08-25,7015
2020-08-25,7015
2020-08-25,7015
2020-08-25,7296
2020-08-25,7296
2020-08-25,7309
2020-08-25,7309
2020-08-26,7890
2020-08-26,7924
2020-08-27,7935
2020-08-27,7950
2020-08-27,8093
2020-08-27,8094
2020-08-27,8596
2020-08-28,9161
2020-08-29,9326
2020-08-29,9491
2020-08-30,9484
2020-08-30,9749
2020-08-31,10257
2020-09-03,10489
2020-09-03,10517
2020-09-04,11001
2020-09-04,11278
2020-09-04,11910
2020-09-04,12249
2020-09-05,12448
2020-09-05,12449
2020-09-07,12071
2020-09-07,12203
2020-09-07,12614
2020-09-08,12853
2020-09-08,12869
2020-09-08,12954
2020-09-08,13163
2020-09-09,13217
2020-09-09,13225
2020-09-09,13494
2020-09-10,14088
2020-09-10,14260
2020-09-10,14753
2020-09-11,14816
2020-09-14,14913
2020-09-14,15126
2020-09-15,15694
2020-09-15,15718
2020-09-15,16031
2020-09-15,16030
2020-09-16,16627
2020-09-16,16939
2020-09-16,16952
2020-09-17,17242
2020-09-18,17253
2020-09-18,17294
2020-09-19,18288
2020-09-20,18615
2020-09-20,18835
2020-09-20,18867
2020-09-20,19468
2020-09-20,19528
2020-09-20,19636
2020-09-20,20085
2020-09-22,20909
2020-09-24,21200
2020-09-24,21285
2020-09-25,21346
2020-09-25,21591
2020-09-25,22005
2020-09-26,22182
2020-09-27,22464
2020-09-27,22496
2020-09-27,22528
2020-09-27,22616
2020-09-27,22813
2020-09-28,22875
2020-09-28,22884
2020-09-28,22902
2020-09-28,22902
2020-09-29,23121
2020-09-29,23360
2020-09-29,23359
2020-09-29,23367
2020-09-30,23367
2020-09-30,23383
2020-10-01,23445
2020-10-06,23547
2020-10-12,23608
2020-10-13,23606
2020-10-13,23926
2020-10-14,23959
2020-10-14,20493
2020-10-15,21131
2020-10-15,21209
2020-10-15,21627
2020-10-15,21825
2020-10-15,22407
2020-10-16,22685
2020-10-16,23134
2020-10-17,23716
2020-10-17,24421
2020-10-19,24640
2020-10-19,24957
2020-10-19,25177
2020-10-19,25257
2020-10-19,25303
2020-10-19,25341
2020-10-19,25538
2020-10-20,25774
2020-10-20,25818
2020-10-20,26682
2020-10-20,26913
2020-10-20,27637
2020-10-20,27921
2020-10-20,29295
2020-10-21,28374
2020-10-21,28962
2020-10-21,28151
2020-10-21,28025
2020-10-22,28347
2020-10-22,28541
2020-10-22,28426
2020-10-22,28633
2020-10-22,28968
2020-10-22,30163
2020-10-23,30221
2020-10-23,30345
2020-10-23,30452
2020-10-23,30343
2020-10-23,31134
2020-10-23,31279
2020-10-24,31383
2020-10-24,31484
2020-10-24,31484
2020-10-24,31984
2020-10-24,31949
2020-10-24,32097
2020-10-24,32295
2020-10-24,32329
2020-10-25,32410
2020-10-26,32844
2020-10-26,32795
2020-10-26,32806
2020-10-26,33241
2020-10-26,33298
2020-10-26,33352
2020-10-26,33585
2020-10-26,33585
2020-10-26,33779
2020-10-27,33843
2020-10-27,34036
2020-10-27,34534
2020-10-27,34965
2020-10-27,35020
2020-10-28,35100
2020-10-28,35128
2020-10-28,35537
2020-10-28,35741
2020-10-28,35777
2020-10-28,35904
2020-10-28,35761
2020-10-28,35767
2020-10-28,35995
2020-10-29,36556
2020-10-29,36548
2020-10-29,36568
2020-10-29,36668
2020-10-29,36955
2020-10-29,37044
2020-10-29,37054
2020-10-29,37125
2020-10-29,37540
2020-10-30,37564
2020-10-30,37563
2020-10-30,37580
2020-10-30,37824
2020-10-30,37826
2020-10-30,37930
2020-10-30,37961
2020-10-30,37959
2020-10-30,37906
2020-10-30,38018
2020-10-30,38079
2020-10-30,38118
2020-10-30,38162
2020-10-30,38345
2020-10-31,38076
2020-10-31,38208
2020-10-31,38215
2020-10-31,38217
2020-10-31,38393
2020-10-31,38408
2020-10-31,38385
2020-10-31,38408
2020-10-31,38408
2020-10-31,38408
2020-10-31,38419
2020-10-31,38420
2020-10-31,38420
2020-10-31,38411
2020-10-31,38443
2020-10-31,38443
2020-10-31,38418
2020-10-31,38415
2020-10-31,38416
2020-10-31,38414
2020-11-02,38421
2020-11-02,38436
