wavelength,intensity
300.00,0
305.00,0
310.00,0
315.00,0
320.00,0
325.00,0
330.00,0
335.00,0
340.00,0
345.00,0
350.00,0
355.00,0
360.00,0
365.00,0
370.00,0
375.00,0
380.00,0.042821159
385.00,0.054041676
390.00,0.067323105
395.00,0.079459583
400.00,0.118387909
405.00,0.446301809
410.00,0.140370964
415.00,0.142889856
420.00,0.160522098
425.00,0.17838333
430.00,0.196015571
435.00,1
440.00,0.38790932
445.00,0.245477444
450.00,0.259903824
455.00,0.272269292
460.00,0.28326082
465.00,0.291962446
470.00,0.297687199
475.00,0.301122052
480.00,0.302953973
485.00,0.301580032
490.00,0.300664071
495.00,0.294252347
500.00,0.286695672
505.00,0.279367987
510.00,0.270895351
515.00,0.263338676
520.00,0.256926952
525.00,0.25303412
530.00,0.252576139
535.00,0.256010992
540.00,0.264025647
545.00,0.635218686
550.00,0.390428212
555.00,0.310281658
560.00,0.32814289
565.00,0.34371422
570.00,0.355392718
575.00,0.418822991
580.00,0.44767575
585.00,0.354476757
590.00,0.341424319
595.00,0.324021067
600.00,0.302724983
605.00,0.279138997
610.00,0.254637051
615.00,0.229677124
620.00,0.204946187
625.00,0.182276162
630.00,0.160751088
635.00,0.141973895
640.00,0.124112663
645.00,0.108312343
650.00,0.095030914
655.00,0.083352416
660.00,0.073276849
665.00,0.064346233
670.00,0.056560568
675.00,0.049919853
680.00,0.0441951
685.00,0.039386306
690.00,0.038241356
695.00,0.032745592
700.00,0.02953973
705.00,0.027249828
710.00,0.024730937
715.00,0.021983055
720.00,0.020151134
725.00,0.018548202
730.00,0.017632242
735.00,0.017174262
740.00,0.016716281
745.00,0.01557133
750.00,0.015800321
755.00,0.01465537
760.00,0.01557133
765.00,0.015800321
770.00,0.013968399
775.00,0.011907488
780.00,0.009846577
785.00,0
790.00,0
795.00,0
800.00,0
