year,Nichia,Toyoda,Lumileds,Cree,Brightlux,Osram,Epistar,Everlight,LG,Seoul,Jufei,Sanan,Nationstar,Changelight
2000,16,24,11,28,0,33,6,18,0,1,0,0,0,0
2001,21,62,83,22,0,78,15,41,0,0,0,0,0,0
2002,63,88,91,72,0,142,6,34,0,0,0,1,0,0
2003,102,115,149,126,0,244,15,36,0,11,0,1,0,0
2004,180,136,143,203,0,316,32,45,9,26,0,0,1,0
2005,196,123,177,218,0,317,48,42,9,62,0,0,5,0
2006,225,120,161,243,0,314,90,71,59,113,0,0,2,0
2007,209,115,208,235,17,296,65,103,114,166,0,0,8,0
2008,268,92,259,231,16,365,130,244,105,244,2,2,12,0
2009,345,111,208,242,40,575,158,185,142,259,9,8,20,8
2010,370,80,232,252,135,543,183,305,331,298,12,26,16,2
2011,325,91,290,314,173,550,193,393,671,255,19,35,31,6
2012,292,94,233,333,174,735,282,300,637,280,18,44,42,12
2013,337,160,133,335,139,851,348,221,934,232,13,50,46,10
2014,400,224,89,325,63,887,403,132,749,276,7,76,48,31
2015,449,139,98,213,67,930,368,73,493,282,27,114,40,65
2016,548,138,107,167,73,907,425,87,413,264,32,71,53,130
2017,686,95,131,113,40,761,505,91,315,222,12,94,72,47
2018,732,53,513,73,30,553,444,93,207,169,15,205,131,121
2019,879,32,792,52,34,342,413,132,186,187,68,199,216,117
