nm,L,M,S
390,0.478861381,0.543342493,0.636844441
395,0.543370197,0.600230383,0.70926104
400,0.600722162,0.651428096,0.777812708
405,0.648844703,0.694548533,0.838726977
410,0.689486553,0.731562439,0.889414898
415,0.718745446,0.761095845,0.928008728
420,0.740475072,0.784453327,0.955525557
425,0.754934503,0.802495351,0.971891412
430,0.768632912,0.819177284,0.984910126
435,0.781214074,0.834901602,0.993509135
440,0.792078887,0.847669803,1
445,0.799009051,0.856524273,0.999130853
450,0.805550608,0.864129681,0.995265922
455,0.812092165,0.870721959,0.985945706
460,0.822325491,0.880256474,0.977901472
465,0.83709257,0.892719349,0.971928397
470,0.851050049,0.903905404,0.960389082
475,0.862789229,0.912607211,0.941508248
480,0.873670234,0.920295889,0.918189215
485,0.88398452,0.927401671,0.893575708
490,0.894201655,0.934299276,0.867464309
495,0.907236192,0.943459072,0.844348694
500,0.921695623,0.953743026,0.822065242
505,0.936397934,0.964401699,0.795288113
510,0.950452566,0.974477475,0.764017309
515,0.963114688,0.983276432,0.735039574
520,0.973574702,0.990354456,0.703528367
525,0.980942049,0.994656785,0.669890524
530,0.986576855,0.997404724,0.634495895
535,0.990770576,0.998931357,0.598195133
540,0.994672841,1,0.560174569
545,0.996988293,0.999555889,0.521395813
550,0.99794362,0.997793322,0.48204379
555,0.999206593,0.995961362,0.442136992
560,0.999708545,0.992921975,0.402433612
565,1,0.989382963,0.362804201
570,0.999773312,0.984581009,0.323452178
575,0.998623682,0.978377328,0.28450699
580,0.996372998,0.970313931,0.246098084
585,0.994753801,0.961848058,0.208354908
590,0.992065934,0.952271907,0.171351431
595,0.988244628,0.940877675,0.135198609
600,0.983403229,0.927915175,0.099933427
605,0.977671271,0.913356649,0.065611362
610,0.970498227,0.897493547,0.032306384
615,0.962029826,0.880561801,
620,0.952363218,0.862450384,
625,0.941676517,0.84331196,
630,0.928431484,0.823507369,
635,0.913761557,0.802911705,
640,0.898443951,0.78149721,
645,0.882430091,0.758986316,
650,0.863890283,0.737752241,
655,0.843634126,0.715227468,
660,0.822455027,0.691675688,
665,0.800417753,0.668040636,
670,0.777554688,0.645335443,
675,0.753768681,0.622644128,
680,0.729027348,0.599758514,
685,0.703249729,0.576498182,
690,0.676306287,0.552696589,
695,0.650334364,0.529935881,
700,0.624362441,0.507591529,
705,0.598147638,0.485122269,
710,0.571090853,0.462167263,
715,0.5439693,0.439517584,
720,0.517479234,0.417423044,
725,0.491070127,0.395522802,
730,0.465162972,0.374122186,
735,0.439369161,0.352846476,
740,0.413494389,0.331765065,
745,0.388493985,0.311585755,
750,0.36341262,0.291309296,
755,0.338719863,0.27136592,
760,0.314383329,0.251783385,
765,0.290160139,0.232214728,
770,0.266390324,0.212937519,
775,0.242507165,0.193618675,
780,0.219385029,0.175021512,
785,0.196392429,0.156549255,
790,0.17357794,0.13824354,
795,0.150892987,0.120090488,
800,0.128645218,0.102492575,
805,0.10673748,0.085199989,
810,0.084684014,0.06775474,
815,0.063035347,0.050642574,
820,0.041904824,0.033849613,
825,0.020839068,0.016945624,
830,0,0,
