wavelength,intensity
422.6237654,0.003142487
425.3787383,0.007916053
428.1337111,0.014376382
430.8886839,0.022994777
433.6436567,0.034267344
436.3986295,0.049434351
439.352648,0.068052821
441.7471115,0.086166505
444.2699804,0.108649304
446.6144581,0.130843585
449.5175477,0.145322499
452.2725205,0.134617526
454.0837776,0.112910243
456.3393851,0.092060309
458.6590484,0.075524968
461.4557632,0.058046796
464.210736,0.044538818
466.9657089,0.038968553
469.7206817,0.037937666
472.4756545,0.039288093
475.2306273,0.042350089
477.9856001,0.047818205
480.7405729,0.055890882
483.4955458,0.066692147
486.2505186,0.080048364
489.0054914,0.092759641
491.7604642,0.103188827
494.515437,0.112005664
497.2704098,0.119631845
500.0253827,0.126340227
502.7803555,0.132279644
505.5353283,0.137450095
508.2903011,0.141454695
511.0452739,0.142879538
513.8002467,0.142940087
516.5552195,0.143050246
519.3101924,0.144003788
522.0651652,0.145180577
524.820138,0.147200749
527.5751108,0.149593001
530.3300836,0.152506165
533.0850564,0.155692188
535.8400293,0.159399123
538.5950021,0.163428528
541.3499749,0.168102872
544.1049477,0.173198907
546.8599205,0.17889027
549.6148933,0.185276184
552.3698662,0.191934956
555.124839,0.197998399
557.8798118,0.203342488
560.6347846,0.207768778
563.3897574,0.211202855
566.1447302,0.21347108
568.8997031,0.213953319
571.6546759,0.213071265
574.4096487,0.21070089
577.1646215,0.207884018
579.9195943,0.204719871
582.6745671,0.201059617
585.4295399,0.197052089
588.1845128,0.19267248
590.9394856,0.187300657
593.6944584,0.181035842
596.4494312,0.173853228
599.4405446,0.17286474
601.7575473,0.184582764
604.7143497,0.183113633
607.4984756,0.190222298
608.5407008,0.21413
609.0435927,0.236101084
609.5391962,0.259066166
610.4866737,0.281816959
612.8335023,0.300724738
613.1795042,0.337752152
613.3935497,0.365008797
613.6614519,0.39249007
614.0915242,0.421250487
614.7752028,0.448671595
616.5869706,0.450141228
616.6478799,0.41464239
616.7345584,0.38277097
616.9951147,0.358753232
617.2511158,0.335216514
617.3393791,0.312122119
617.6537458,0.287102657
617.7840719,0.262723739
618.4552017,0.235975411
620.0822252,0.220473374
621.6096421,0.213995539
622.4931076,0.189648164
625.0434253,0.194225734
625.8607963,0.222225126
626.8918808,0.247784895
628.2300105,0.26953635
628.8222911,0.292549179
629.3582374,0.316469303
629.5615807,0.347806651
629.6986005,0.379174374
629.8662311,0.405078978
629.9609789,0.430229551
630.1504743,0.455411146
630.2548119,0.48146058
630.3764113,0.507507348
630.471159,0.532947317
630.5804833,0.558590183
630.8078779,0.586125399
630.8969485,0.613923514
630.9959157,0.640382553
631.1271049,0.665852263
631.3517167,0.69399699
631.761186,0.72133613
631.9306386,0.748470706
632.024515,0.77158448
632.2009127,0.798997909
632.339611,0.828603512
632.4548984,0.857303581
632.5264562,0.906172086
632.5264562,0.936740906
632.5860876,0.879610984
633.9039426,0.830579476
633.9476723,0.736468938
633.9695372,0.760192635
633.9695372,0.857147447
633.9933898,0.799752901
634.0430031,0.709376645
634.0433311,0.67772732
634.1547454,0.654455328
634.6153916,0.626697995
634.8966074,0.599646118
635.4529841,0.57837173
636.8556992,0.618054229
636.9322262,0.558664668
637.0606823,0.52894293
637.1180775,0.593634994
637.1918715,0.506383797
637.2801348,0.483358346
637.6042492,0.459679278
637.7166282,0.436560517
637.8560167,0.413773665
638.1282342,0.388391682
638.3402083,0.361005947
638.5896779,0.330901026
638.7661416,0.303685819
638.9875234,0.275789316
639.2499017,0.242565215
639.5479293,0.210749871
639.9973348,0.182698426
640.4352897,0.156662434
641.6101761,0.128415289
643.7899845,0.120024245
645.6150999,0.142090555
646.4450037,0.17266994
647.6618007,0.195638875
649.5529378,0.190647709
650.0402119,0.166901094
650.9191795,0.145016047
651.9595667,0.122263719
653.6479144,0.099291831
655.5583569,0.087094882
658.1083466,0.078293866
660.8633194,0.066993564
663.6182922,0.055668457
666.3732651,0.048337012
669.1282379,0.049662634
671.8832107,0.04600238
674.6381835,0.0394399
677.3931563,0.035109902
680.1481291,0.03154887
682.903102,0.028483944
685.6580748,0.025766294
688.4130476,0.023395919
691.1680204,0.021248791
693.9229932,0.019250496
696.677966,0.01752506
699.4329389,0.015998066
702.1879117,0.014495878
704.9428845,0.013266549
707.6978573,0.01208683
710.4528301,0.010931917
713.2078029,0.009950641
715.9627758,0.009043781
718.7177486,0.008484196
721.4727214,0.007800584
724.2276942,0.007042557
726.982667,0.006879857
729.7376398,0.006221051
732.4926126,0.006058352
735.2475855,0.00574682
738.0025583,0.005410484
740.7575311,0.005198174
743.5125039,0.005258722
746.2674767,0.005319271
749.0224495,0.00537982
750.7279089,0.005000573
